Gregorian-Lunar Calendar Conversion Table of 2099 (Ji-wei  -  year of the Goat)
2099/7/1          13                      Wednesday                          
2099/7/2          14                      Thursday                           
2099/7/3          15                      Friday                             
2099/7/4          16                      Saturday                           
2099/7/5          17                      Sunday                             
2099/7/6          18                      Monday                             
2099/7/7          19                      Tuesday        Moderate Heat       
2099/7/8          20                      Wednesday                          
2099/7/9          21                      Thursday                           
2099/7/10         22                      Friday                             
2099/7/11         23                      Saturday                           
2099/7/12         24                      Sunday                             
2099/7/13         25                      Monday                             
2099/7/14         26                      Tuesday                            
2099/7/15         27                      Wednesday                          
2099/7/16         28                      Thursday                           
2099/7/17         29                      Friday                             
2099/7/18         6th Lunar Month         Saturday                           
2099/7/19         2                       Sunday                             
2099/7/20         3                       Monday                             
2099/7/21         4                       Tuesday                            
2099/7/22         5                       Wednesday      Great Heat          
2099/7/23         6                       Thursday                           
2099/7/24         7                       Friday                             
2099/7/25         8                       Saturday                           
2099/7/26         9                       Sunday                             
2099/7/27         10                      Monday                             
2099/7/28         11                      Tuesday                            
2099/7/29         12                      Wednesday                          
2099/7/30         13                      Thursday                           
2099/7/31         14                      Friday                             
2099/8/1          15                      Saturday                           
2099/8/2          16                      Sunday                             
2099/8/3          17                      Monday                             
2099/8/4          18                      Tuesday                            
2099/8/5          19                      Wednesday                          
2099/8/6          20                      Thursday                           
2099/8/7          21                      Friday         Autumn Commences    
2099/8/8          22                      Saturday                           
2099/8/9          23                      Sunday                             
2099/8/10         24                      Monday                             
2099/8/11         25                      Tuesday                            
2099/8/12         26                      Wednesday                          
2099/8/13         27                      Thursday                           
2099/8/14         28                      Friday                             
2099/8/15         29                      Saturday                           
2099/8/16         7th Lunar Month         Sunday                             
2099/8/17         2                       Monday                             
2099/8/18         3                       Tuesday                            
2099/8/19         4                       Wednesday                          
2099/8/20         5                       Thursday                           
2099/8/21         6                       Friday                             
2099/8/22         7                       Saturday                           
2099/8/23         8                       Sunday         End of Heat         
2099/8/24         9                       Monday                             
2099/8/25         10                      Tuesday                            
2099/8/26         11                      Wednesday                          
2099/8/27         12                      Thursday                           
2099/8/28         13                      Friday                             
2099/8/29         14                      Saturday                           
2099/8/30         15                      Sunday                             
2099/8/31         16                      Monday                             
2099/9/1          17                      Tuesday                            
2099/9/2          18                      Wednesday                          
2099/9/3          19                      Thursday                           
2099/9/4          20                      Friday                             
2099/9/5          21                      Saturday                           
2099/9/6          22                      Sunday                             
2099/9/7          23                      Monday         White Dew           
2099/9/8          24                      Tuesday                            
2099/9/9          25                      Wednesday                          
2099/9/10         26                      Thursday                           
2099/9/11         27                      Friday                             
2099/9/12         28                      Saturday                           
2099/9/13         29                      Sunday                             
2099/9/14         30                      Monday                             
2099/9/15         8th Lunar Month         Tuesday                            
2099/9/16         2                       Wednesday                          
2099/9/17         3                       Thursday                           
2099/9/18         4                       Friday                             
2099/9/19         5                       Saturday                           
2099/9/20         6                       Sunday                             
2099/9/21         7                       Monday                             
2099/9/22         8                       Tuesday                            
2099/9/23         9                       Wednesday      Autumnal Equinox    
2099/9/24         10                      Thursday                           
2099/9/25         11                      Friday                             
2099/9/26         12                      Saturday                           
2099/9/27         13                      Sunday                             
2099/9/28         14                      Monday                             
2099/9/29         15                      Tuesday                            
2099/9/30         16                      Wednesday                          
2099/10/1         17                      Thursday                           
2099/10/2         18                      Friday                             
2099/10/3         19                      Saturday                           
2099/10/4         20                      Sunday                             
2099/10/5         21                      Monday                             
2099/10/6         22                      Tuesday                            
2099/10/7         23                      Wednesday                          
2099/10/8         24                      Thursday       Cold Dew            
2099/10/9         25                      Friday                             
2099/10/10        26                      Saturday                           
2099/10/11        27                      Sunday                             
2099/10/12        28                      Monday                             
2099/10/13        29                      Tuesday                            
2099/10/14        9th Lunar Month         Wednesday                          
2099/10/15        2                       Thursday                           
2099/10/16        3                       Friday                             
2099/10/17        4                       Saturday                           
2099/10/18        5                       Sunday                             
2099/10/19        6                       Monday                             
2099/10/20        7                       Tuesday                            
2099/10/21        8                       Wednesday                          
2099/10/22        9                       Thursday                           
2099/10/23        10                      Friday         Frost               
2099/10/24        11                      Saturday                           
2099/10/25        12                      Sunday                             
2099/10/26        13                      Monday                             
2099/10/27        14                      Tuesday                            
2099/10/28        15                      Wednesday                          
2099/10/29        16                      Thursday                           
2099/10/30        17                      Friday                             
2099/10/31        18                      Saturday                           
2099/11/1         19                      Sunday                             
2099/11/2         20                      Monday                             
2099/11/3         21                      Tuesday                            
2099/11/4         22                      Wednesday                          
2099/11/5         23                      Thursday                           
2099/11/6         24                      Friday                             
2099/11/7         25                      Saturday       Winter Commences    
2099/11/8         26                      Sunday                             
2099/11/9         27                      Monday                             
2099/11/10        28                      Tuesday                            
2099/11/11        29                      Wednesday                          
2099/11/12        10th Lunar Month        Thursday                           
2099/11/13        2                       Friday                             
2099/11/14        3                       Saturday                           
2099/11/15        4                       Sunday                             
2099/11/16        5                       Monday                             
2099/11/17        6                       Tuesday                            
2099/11/18        7                       Wednesday                          
2099/11/19        8                       Thursday                           
2099/11/20        9                       Friday                             
2099/11/21        10                      Saturday                           
2099/11/22        11                      Sunday         Light Snow          
2099/11/23        12                      Monday                             
2099/11/24        13                      Tuesday                            
2099/11/25        14                      Wednesday                          
2099/11/26        15                      Thursday                           
2099/11/27        16                      Friday                             
2099/11/28        17                      Saturday                           
2099/11/29        18                      Sunday                             
2099/11/30        19                      Monday                             
2099/12/1         20                      Tuesday                            
2099/12/2         21                      Wednesday                          
2099/12/3         22                      Thursday                           
2099/12/4         23                      Friday                             
2099/12/5         24                      Saturday                           
2099/12/6         25                      Sunday                             
2099/12/7         26                      Monday         Heavy Snow          
2099/12/8         27                      Tuesday                            
2099/12/9         28                      Wednesday                          
2099/12/10        29                      Thursday                           
2099/12/11        30                      Friday                             
2099/12/12        11th Lunar Month        Saturday                           
2099/12/13        2                       Sunday                             
2099/12/14        3                       Monday                             
2099/12/15        4                       Tuesday                            
2099/12/16        5                       Wednesday                          
2099/12/17        6                       Thursday                           
2099/12/18        7                       Friday                             
2099/12/19        8                       Saturday                           
2099/12/20        9                       Sunday                             
2099/12/21        10                      Monday         Winter Solstice     
2099/12/22        11                      Tuesday                            
2099/12/23        12                      Wednesday                          
2099/12/24        13                      Thursday                           
2099/12/25        14                      Friday                             
2099/12/26        15                      Saturday                           
2099/12/27        16                      Sunday                             
2099/12/28        17                      Monday                             
2099/12/29        18                      Tuesday                            
2099/12/30        19                      Wednesday                          
2099/12/31        20                      Thursday                           
