Gregorian-Lunar Calendar Conversion Table of 2078 (Wu-xu  -  year of the Dog)
Gregorian date    Lunar date              Day-of-week    Solar terms
2078/9/29         24                      Thursday                           
2078/9/30         25                      Friday                             
2078/10/1         26                      Saturday                           
2078/10/2         27                      Sunday                             
2078/10/3         28                      Monday                             
2078/10/4         29                      Tuesday                            
2078/10/5         30                      Wednesday                          
2078/10/6         9th Lunar Month         Thursday                           
2078/10/7         2                       Friday                             
2078/10/8         3                       Saturday       Cold Dew            
2078/10/9         4                       Sunday                             
2078/10/10        5                       Monday                             
2078/10/11        6                       Tuesday                            
2078/10/12        7                       Wednesday                          
2078/10/13        8                       Thursday                           
2078/10/14        9                       Friday                             
2078/10/15        10                      Saturday                           
2078/10/16        11                      Sunday                             
2078/10/17        12                      Monday                             
2078/10/18        13                      Tuesday                            
2078/10/19        14                      Wednesday                          
2078/10/20        15                      Thursday                           
2078/10/21        16                      Friday                             
2078/10/22        17                      Saturday                           
2078/10/23        18                      Sunday         Frost               
2078/10/24        19                      Monday                             
2078/10/25        20                      Tuesday                            
2078/10/26        21                      Wednesday                          
2078/10/27        22                      Thursday                           
2078/10/28        23                      Friday                             
2078/10/29        24                      Saturday                           
2078/10/30        25                      Sunday                             
2078/10/31        26                      Monday                             
2078/11/1         27                      Tuesday                            
2078/11/2         28                      Wednesday                          
2078/11/3         29                      Thursday                           
2078/11/4         30                      Friday                             
2078/11/5         10th Lunar Month        Saturday                           
2078/11/6         2                       Sunday                             
2078/11/7         3                       Monday         Winter Commences    
2078/11/8         4                       Tuesday                            
2078/11/9         5                       Wednesday                          
2078/11/10        6                       Thursday                           
2078/11/11        7                       Friday                             
2078/11/12        8                       Saturday                           
2078/11/13        9                       Sunday                             
2078/11/14        10                      Monday                             
2078/11/15        11                      Tuesday                            
2078/11/16        12                      Wednesday                          
2078/11/17        13                      Thursday                           
2078/11/18        14                      Friday                             
2078/11/19        15                      Saturday                           
2078/11/20        16                      Sunday                             
2078/11/21        17                      Monday                             
2078/11/22        18                      Tuesday        Light Snow          
2078/11/23        19                      Wednesday                          
2078/11/24        20                      Thursday                           
2078/11/25        21                      Friday                             
2078/11/26        22                      Saturday                           
2078/11/27        23                      Sunday                             
2078/11/28        24                      Monday                             
2078/11/29        25                      Tuesday                            
2078/11/30        26                      Wednesday                          
2078/12/1         27                      Thursday                           
2078/12/2         28                      Friday                             
2078/12/3         29                      Saturday                           
2078/12/4         11th Lunar Month        Sunday                             
2078/12/5         2                       Monday                             
2078/12/6         3                       Tuesday                            
2078/12/7         4                       Wednesday      Heavy Snow          
2078/12/8         5                       Thursday                           
2078/12/9         6                       Friday                             
2078/12/10        7                       Saturday                           
2078/12/11        8                       Sunday                             
2078/12/12        9                       Monday                             
2078/12/13        10                      Tuesday                            
2078/12/14        11                      Wednesday                          
2078/12/15        12                      Thursday                           
2078/12/16        13                      Friday                             
2078/12/17        14                      Saturday                           
2078/12/18        15                      Sunday                             
2078/12/19        16                      Monday                             
2078/12/20        17                      Tuesday                            
2078/12/21        18                      Wednesday      Winter Solstice     
2078/12/22        19                      Thursday                           
2078/12/23        20                      Friday                             
2078/12/24        21                      Saturday                           
2078/12/25        22                      Sunday                             
2078/12/26        23                      Monday                             
2078/12/27        24                      Tuesday                            
2078/12/28        25                      Wednesday                          
2078/12/29        26                      Thursday                           
2078/12/30        27                      Friday                             
2078/12/31        28                      Saturday                           
