Gregorian-Lunar Calendar Conversion Table of 2053 (Gui-you  -  year of the Rooster)
Gregorian date    Lunar date              Day-of-week    Solar terms
2053/12/12        3                       Friday                             
2053/12/13        4                       Saturday                           
2053/12/14        5                       Sunday                             
2053/12/15        6                       Monday                             
2053/12/16        7                       Tuesday                            
2053/12/17        8                       Wednesday                          
2053/12/18        9                       Thursday                           
2053/12/19        10                      Friday                             
2053/12/20        11                      Saturday                           
2053/12/21        12                      Sunday         Winter Solstice     
2053/12/22        13                      Monday                             
2053/12/23        14                      Tuesday                            
2053/12/24        15                      Wednesday                          
2053/12/25        16                      Thursday                           
2053/12/26        17                      Friday                             
2053/12/27        18                      Saturday                           
2053/12/28        19                      Sunday                             
2053/12/29        20                      Monday                             
2053/12/30        21                      Tuesday                            
2053/12/31        22                      Wednesday                          
